-------------------------------------------------------------------------------------------------------------------------------------------------------------------
| News#  | Title Content                                                                                        | Match Words                 | Score | Polarity  |
| 304    | U.K. INTERVENTION BOARD DETAILS EC SUGAR SALES                                                       |                             | 0     | neutral   |
| 305    | PIONEER-STANDARD ELECTRONICS INC PAYOUT                                                              |                             | 0     | neutral   |
| 306    | AMSTERDAM EXCHANGE ANNOUNCES MODERNISATION DRIVE                                                     |                             | 0     | neutral   |
| 307    | HOUSE WAYS AND MEANS CMTE FINISHES WORK ON BILL TO TOUGHEN TRADE LAWS                                | work                        | 1     | positive  |
| 308    | CHEROKEE GROUP FILES TO OFFER SHARES                                                                 |                             | 0     | neutral   |
| 309    | SOUTH AFRICA PROBLEMS REMAIN DESPITE DEBT PACT                                                       | debt, problems              | -2    | negative  |
| 310    | FABRI-CENTERS 4TH QTR ENDS JAN 31 NET                                                                |                             | 0     | neutral   |
| 311    | TSENG LABORATORIES INC 4TH QTR NET                                                                   |                             | 0     | neutral   |
| 312    | PARK ELECTROCHEMICAL CORP SETS PAYOUT                                                                |                             | 0     | neutral   |
| 313    | BRAZIL SEAMEN SAY STRIKE NEAR END                                                                    | strike                      | -1    | negative  |
| 314    | KEY U.S. HOUSE PANEL FINISHES MAJOR TRADE BILL                                                       |                             | 0     | neutral   |
| 315    | RUSS TOGS INC 4TH QTR JAN 31 NET                                                                     |                             | 0     | neutral   |
| 316    | JOHNSTOWN AMERICAN COS 2ND QTR FEB 28 NET                                                            |                             | 0     | neutral   |
| 317    | EASCO OFFERS INITIAL SALE OF SECURITIES                                                              |                             | 0     | neutral   |
| 318    | KEIHIN ELECTRIC EXPRESS ISSUES 150 MLN DLR BOND                                                      | issues                      | -1    | negative  |
| 319    | BRISTOL AND WEST BUILDING SOCIETY ISSUES CDS                                                         | issues                      | -1    | negative  |
| 320    | WOOLWICH BUILDING SOCIETY ISSUING 50 MLN STG BOND                                                    |                             | 0     | neutral   |
| 321    | ITT UNIT FILES FOR PREFERRED STOCK SALE                                                              |                             | 0     | neutral   |
| 322    | CPC EXPECTS EUROPEAN SALE TO CUT DEBT                                                                | cut, debt                   | -2    | negative  |
| 323    | THERMO PROCESS ACQUISITION TERMINATED                                                                |                             | 0     | neutral   |
| 324    | CHRYSLER FINANCE ISSUING STERLING EUROBOND                                                           |                             | 0     | neutral   |
| 325    | NORANDA RAISES PRIMARY ALUMINUM PRICES                                                               |                             | 0     | neutral   |
| 326    | SOVIET PAPER DETAILS GEORGIAN FLOOD DAMAGE                                                           | damage                      | -1    | negative  |
| 327    | UTILICORP SEES HIGHER 1987 FIRST QUARTER                                                             | higher                      | 1     | positive  |
| 328    | INC> INITIAL OFFERING UNDERWAY                                                                       |                             | 0     | neutral   |
| 329    | TSENG SEES SALES INCREASE FIRST QTR 1987                                                             |                             | 0     | neutral   |
| 330    | MINNTECH GETS MORE CASH FOR DEVELOPMENT                                                              |                             | 0     | neutral   |
| 331    | STOCKHOLDER SYSTEMS MAKES ACQUISITION                                                                |                             | 0     | neutral   |
| 332    | CONCEPT INC 2ND QTR FEB 28 NET                                                                       |                             | 0     | neutral   |
| 333    | LIFE OF INDIANA CORP 4TH QTR LOSS                                                                    | loss                        | -1    | negative  |
| 334    | B.F. SAUL REAL ESTATE INVESTMENT PAYOUT                                                              |                             | 0     | neutral   |
| 335    | SOUTH AFRICA PROBLEMS REMAIN DESPITE DEBT PACT                                                       | debt, problems              | -2    | negative  |
| 336    | MAYTAG SEES CAPITAL SPENDING UP IN 1987                                                              |                             | 0     | neutral   |
| 337    | TRAVELERS UNIT TO BUY REALTY DIVISIONS                                                               |                             | 0     | neutral   |
| 338    | COMMUNICATIONS AND CABLE INC 1ST QTR NET                                                             |                             | 0     | neutral   |
| 339    | BEN EQUITY HOLDINGS SUSPENDED ON NYSE                                                                |                             | 0     | neutral   |
| 340    | ESCAGEN CORP INITIAL OFFERING STARTS                                                                 |                             | 0     | neutral   |
| 341    | BRISTOL-MYERS FILES AIDS VACCINE WITH FDA                                                            |                             | 0     | neutral   |
| 342    | DALLAS INVESTOR CUTS STAKE IN MCDERMOTT (MDR)                                                        |                             | 0     | neutral   |
| 343    | FED ADOPTS REDEPOSIT SERVICE FOR BOUNCED CHECKS                                                      |                             | 0     | neutral   |
| 344    | INTN'L PLATINUM, DEGUSSA IN JOINT VENTURE TALKS                                                      |                             | 0     | neutral   |
| 345    | WESTWOOD ONE INC 1ST QWTR FEB 28 NET                                                                 |                             | 0     | neutral   |
| 346    | REAGAN OPPOSES NEW TAXES, SEEKS BUDGET                                                               |                             | 0     | neutral   |
| 347    | IRAN SAYS HAS BETTER WEAPONS THAN SILKWORM                                                           | better                      | 1     | positive  |
| 348    | EC COMMISSION DETAILS SUGAR TENDER                                                                   | tender                      | 1     | positive  |
| 349    | INLAND STEEL PREFERRED OFFERED                                                                       |                             | 0     | neutral   |
| 350    | ADVANCED MICRO PREFERRED OFFERED                                                                     | advanced                    | 1     | positive  |
| 351    | TRICENTROL TO CONCENTRATE ON PROVEN RESERVES                                                         | proven                      | 1     | positive  |
| 352    | ROLLS-ROYCE SIGNS NEW ENGINE DEAL WITH BOEING                                                        |                             | 0     | neutral   |
| 353    | BROOKLYN UNION GAS CO SETS PAYOUT                                                                    |                             | 0     | neutral   |
| 354    | UNISYS INTRODUCES NEW PRODUCTS                                                                       |                             | 0     | neutral   |
| 355    | ARGENTINE PORT WORKERS TAKE INDUSTRIAL ACTION                                                        |                             | 0     | neutral   |
| 356    | NOVAMIN SAYS IT RECEIVED PROPOSED TAKEOVER BID FROM BREAKWATER                                       |                             | 0     | neutral   |
| 357    | NYFE SEAT SELLS FOR 200 DLRS                                                                         |                             | 0     | neutral   |
| 358    | NEC CORP HAS 150 MLN DLR EURO-CP PROGRAM                                                             |                             | 0     | neutral   |
| 359    | FRANCE SETS FOUR BILLION FRANC T-BILL TENDER                                                         | tender                      | 1     | positive  |
| 360    | FED EXPECTED TO ADD RESERVES IN MARKET                                                               |                             | 0     | neutral   |
| 361    | INDIA REPORTED BUYING TWO WHITE SUGAR CARGOES                                                        |                             | 0     | neutral   |
| 362    | NOVAMIN IN PROPOSED BUYOUT BY BREAWATER                                                              |                             | 0     | neutral   |
| 363    | LILLY INDUSTRIAL COATINGS INC 1ST QTR                                                                |                             | 0     | neutral   |
| 364    | COMMONWEALTY REALTY BAY END TALKS                                                                    |                             | 0     | neutral   |
| 365    | MET-PRO CORP 4TH QTR ENDS JAN 31 NET                                                                 |                             | 0     | neutral   |
| 366    | EDO TO BUY BACK ADDITIONAL 500,000 SHARES                                                            |                             | 0     | neutral   |
| 367    | VISTA FORMS OFFICE OF THE PRESIDENT                                                                  |                             | 0     | neutral   |
| 368    | CENTRAL MAINE POWER CO SETS QUARTERLY                                                                |                             | 0     | neutral   |
| 369    | SOME FIRMS CURB COMMODITIES BUSINESS WITH DREXEL                                                     |                             | 0     | neutral   |
| 370    | PEP BOYS SETS SPLIT, RAISES QUARTERLY                                                                | pep                         | 1     | positive  |
| 371    | PEP BOYS - MANNY, MOE AND JACK INC 4TH QTR                                                           | pep                         | 1     | positive  |
| 372    | HOVNANIAN ENTERPRISES EARNINGS TO RISE                                                               | rise                        | 1     | positive  |
| 373    | NY TRADERS SAY TURKEY MADE LARGE SUGAR PURCHASE                                                      |                             | 0     | neutral   |
| 374    | NORFOLK UNIT SELLS EQUIPMENT CERTIFICATES                                                            |                             | 0     | neutral   |
| 375    | ANHEUSER-BUSCH OFFICER RESIGNS                                                                       |                             | 0     | neutral   |
| 376    | JOHNSON SAYS FED'S ACTIONS YESTERDAY MEANT TO STABILIZE DOLLAR AT CURRENT LEVELS                     | stabilize                   | 1     | positive  |
| 377    | SUNSTAR FOODS INC 2ND QTR FEB 28 NET                                                                 |                             | 0     | neutral   |
| 378    | PHOENIX RE INITIAL OFFERING UNDER WAY                                                                |                             | 0     | neutral   |
| 379    | NIPPON SIGNAL TO ISSUE 50 MLN SWISS FRANC NOTES                                                      | issue                       | -1    | negative  |
| 380    | HADSON TO ACQUIRE 85 PCT OF SEAXE                                                                    |                             | 0     | neutral   |
| 381    | REUTERS TO BUY I P SHARP OF CANADA                                                                   | sharp                       | 1     | positive  |
| 382    | TCBY ENTERPRISES SPLITS STOCK                                                                        |                             | 0     | neutral   |
| 383    | FIRST INTERSTATE SELLS CAPITAL NOTES                                                                 |                             | 0     | neutral   |
| 384    | RAYTHEON CO SETS QUARTERLY                                                                           |                             | 0     | neutral   |
| 385    | FIAT MAY ISSUE BOND FOR LIBYAN STAKE, PAPER SAYS                                                     | issue                       | -1    | negative  |
| 386    | ITALY'S STET FORMS TELECOMMUNICATIONS FIRM                                                           |                             | 0     | neutral   |
| 387    | P.H. GLATFELTER CO INCREASES DIVIDEND                                                                |                             | 0     | neutral   |
| 388    | LIFE OF INDIANA CORP 4TH QTR LOSS                                                                    | loss                        | -1    | negative  |
| 389    | (CORRECTED) - TSENG SEES SALES INCREASE                                                              |                             | 0     | neutral   |
| 390    | BRAZILIAN BANK STRIKE SPREADS, UNION SAYS                                                            | strike                      | -1    | negative  |
| 391    | CONSOLIDATED NOREX TO ACQUIRE TRIWEB RESOURCES                                                       |                             | 0     | neutral   |
| 392    | THAI SUGAR PRODUCTION CONTINUES HIGH IN FEB                                                          |                             | 0     | neutral   |
| 393    | SWEDISH EXPORT CREDIT ISSUES NEW ZEALAND DLR BOND                                                    | issues                      | -1    | negative  |
| 394    | APOLLO COMPUTER IN JOINT MARKETING PACT                                                              |                             | 0     | neutral   |
| 395    | ACCUGRAPH IN ASIA MARKETING PACT WITH TRIO-TECH                                                      |                             | 0     | neutral   |
| 396    | REICHHOLD CHEMICALS INC EXPLORING POSSIBLE SALE OF EUROPEAN SUBSIDIARY                               |                             | 0     | neutral   |
| 397    | NY TRADERS EXPECT CHINA TO STEP UP SUGAR BUYING                                                      |                             | 0     | neutral   |
| 398    | ROSS STORES INC 4TH QTR JAN 31 LOSS                                                                  | loss                        | -1    | negative  |
| 399    | ITALIAN TREASURY BILL OFFER HAS MIXED RESPONSE                                                       |                             | 0     | neutral   |
| 400    | AFG EXPANDS INTO AUTO GLASS REPLACEMENT                                                              |                             | 0     | neutral   |
| 401    | GREENWOOD RESOURCES SAYS BANKS COULD FORECLOSE                                                       |                             | 0     | neutral   |
| 402    | NAVISTAR STILL EXPECTS HIGHER 1987 NET                                                               | higher                      | 1     | positive  |
| 403    | HEES INTERNATIONAL SETS 100 MLN DLR SHARE ISSUE                                                      | issue                       | -1    | negative  |
| 404    | CORRECTED-LILLY INDUSTRIAL COATINGS INC                                                              |                             | 0     | neutral   |
| 405    | U.S. SENATE PANEL APPROVES TRADE MISSION BILL                                                        |                             | 0     | neutral   |
| 406    | CATERPILLAR WORKERS TOLD TO END SIT-IN                                                               |                             | 0     | neutral   |
| 407    | BAT SHARES UNDERVALUED, SAY STOCK MARKET ANALYSTS                                                    |                             | 0     | neutral   |
| 408    | BALDRIGE SAYS U.S. WILL NOT LET JAPAN DOMINATE WORLD ELECTRONICS MARKET                              | dominate                    | 1     | positive  |
| 409    | REICHHOLD EXPLORING SALE OF EUROPEAN UNIT                                                            |                             | 0     | neutral   |
| 410    | AMERICUS TRUST FOR MERCK NOW EFFECTIVE                                                               | trust, effective            | 2     | positive  |
| 411    | UAL SAID DONALD TRUMP WAS INTERESTED IN UAL STOCK "AS INVESTMENT"                                    | trump                       | 1     | positive  |
| 412    | INT'L BROADCASTING SETS REVERSE SPLIT                                                                | split                       | -1    | negative  |
| 413    | BI INC SETS REVERSE SPLIT                                                                            | split                       | -1    | negative  |
| 414    | BALDRIGE SAYS JAPAN MUST OPEN ITS MARKETS                                                            |                             | 0     | neutral   |
| 415    | K MART UNIT BUYS TEXAS LAND                                                                          |                             | 0     | neutral   |
| 416    | BASF CORP YEAR NET                                                                                   |                             | 0     | neutral   |
| 417    | TORONTO DOMINION BUYING MONTREAL EXCHANGE SEAT                                                       |                             | 0     | neutral   |
| 418    | LEAR SIEGLER DEPOSITS 79.4 MLN DLRS TO SECURE NOTES, EFFECTS REORGANIZATION                          | secure                      | 1     | positive  |
| 419    | J.A.M. WINS 1.5 MLN DLR CONTRACT                                                                     | wins                        | 1     | positive  |
| 420    | UNISYS NEW MAINFRAME INTRODUCTION NOT SET                                                            |                             | 0     | neutral   |
| 421    | MONTANA POWER CO VOTES QUARTERLY DIVIDEND                                                            |                             | 0     | neutral   |
| 422    | UAL SAID TRUMP TALKED WITH UAL CHAIRMAN                                                              | trump                       | 1     | positive  |
| 423    | GROLIER DEBT UPGRADED BY MOODY'S                                                                     | upgraded, debt              | 0     | neutral   |
| 424    | TEAM INC 3RD QTR FEB 28 NET                                                                          |                             | 0     | neutral   |
| 425    | TODD SHIPYARDS CORP OMITS QTLY COMMON DIV, SETS PREFERRED PAYOUT                                     |                             | 0     | neutral   |
| 426    | RSI CORP 2ND QTR FEB 28 NET                                                                          |                             | 0     | neutral   |
| 427    | RCM TECHNOLOGIES INC 1ST QTR JAN 31 LOSS                                                             | loss                        | -1    | negative  |
| 428    | MCCLAIN INDUSTRIES INC 1ST QTR DEC 31 NET                                                            |                             | 0     | neutral   |
| 429    | FED OFFERS TO BUY ONE BILLION DLRS OF BILLS FOR CUSTOMER, AFTER NOTE AUCTION                         |                             | 0     | neutral   |
| 430    | SYNALLOY ENDS PLANS TO SELL UNIT                                                                     |                             | 0     | neutral   |
| 431    | C-I-L ACQUIRING TRIMAC'S STAKE IN TRICIL                                                             |                             | 0     | neutral   |
| 432    | EC INFLATION STARTS TO RISE AGAIN IN FEBRUARY                                                        | rise                        | 1     | positive  |
| 433    | PANTERA'S TO BUY TEN PIZZA RESTAURANTS                                                               |                             | 0     | neutral   |
| 434    | ALLIED-SIGNAL INC TO SELL LINOTYPE GROUP TO COMMERZBANK OF WEST GERMANY                              |                             | 0     | neutral   |
| 435    | ENERGY/U.S. OIL OUTPUT                                                                               |                             | 0     | neutral   |
| 436    | TODD SHIPYARDS OMITS COMMMON DIVIDEND                                                                |                             | 0     | neutral   |
| 437    | IMO DELAVAL SETS INITIAL DIVIDEND                                                                    |                             | 0     | neutral   |
| 438    | FED TO PURCHASE TREASURY BILLS FOR A CUSTOMER                                                        |                             | 0     | neutral   |
| 439    | GOULD INTRODUCES NEW MINI SUPERCOMPUTERS                                                             |                             | 0     | neutral   |
| 440    | NATIONAL COMPUTER SYSTEMS INC QTR NET                                                                |                             | 0     | neutral   |
| 441    | SEC SANCTIONS ACCOUNTANTS KMG MAIN HURDMAN                                                           |                             | 0     | neutral   |
| 442    | ALLIED-SIGNAL TO SELL LINOTYPE UNIT                                                                  |                             | 0     | neutral   |
| 443    | CONTINENTAL HEALTH AFFILIATES INC 4TH QTR                                                            |                             | 0     | neutral   |
| 444    | CANADA SETS OIL INDUSTRY AID PACKAGE                                                                 |                             | 0     | neutral   |
| 445    | CONTINENTAL REPURCHASES NOTES                                                                        |                             | 0     | neutral   |
| 446    | GROUP INC> TO OFFER SHARES, NOTES                                                                    |                             | 0     | neutral   |
| 447    | MOUNTLEIGH GROUP SEEKS 100 MLN STG FACILITY                                                          |                             | 0     | neutral   |
| 448    | SOUTHWEST FOREST SETTLES STRIKE                                                                      | strike                      | -1    | negative  |
| 449    | COCOA TALKS SLOW AT CRUCIAL STAGE - DELEGATES                                                        | slow                        | -1    | negative  |
| 450    | MACK TRUCKS DEBT AFFIRMED BY S/P                                                                     | debt                        | -1    | negative  |
| 451    | EURATOM ECU BOND MARKS ROME TREATY ANNIVERSARY                                                       |                             | 0     | neutral   |
| 452    | NEWMONT GOLD SEES GOLD SALES RISING                                                                  | gold                        | 2     | positive  |
| 453    | MESSIDOR TO MERGE WITH TRITON BELEGGINGEN                                                            |                             | 0     | neutral   |
| 454    | IMMUNOGENETICS TO ENTER LIPOSOME FIELD                                                               |                             | 0     | neutral   |
| 455    | SMITH BARNEY ANALYST CUTS HERCULES RATING                                                            |                             | 0     | neutral   |
| 456    | S/P UPGRADES CONSUMERS POWER'S SENIOR AND SUBORDINATED DEBT                                          | debt                        | -1    | negative  |
| 457    | NAVISTAR SEES HIGHER CAPITAL SPENDING                                                                | higher                      | 1     | positive  |
| 458    | MOHAWK DATA AFFILIATE IN SERVICE DEAL                                                                |                             | 0     | neutral   |
| 459    | CONSUMERS POWER DEBT RAISED BY S/P                                                                   | debt                        | -1    | negative  |
| 460    | ENCOR ENERGY CORP PLANS 125 MLN DLR DEBENTURE OFFER                                                  |                             | 0     | neutral   |
| 461    | PACIFIC GAS SEEKS PURCHASE RULE CHANGE                                                               |                             | 0     | neutral   |
| 462    | ENCOR ENERGY CORP INC YR NET LOSS 406.6 MLN VS PROFIT 35.4 MLN                                       | loss, profit                | 0     | neutral   |
| 463    | BRAZIL PLANS NEW ECONOMIC STRATEGY FOR GROWTH                                                        | growth                      | 1     | positive  |
| 464    | MIDDLE SOUTH TO FORM NEW DIVIDEND POLICY                                                             |                             | 0     | neutral   |
| 465    | UK POLL SHOWS SURGE FOR CENTRIST ALLIANCE PARTIES                                                    |                             | 0     | neutral   |
| 466    | EMERSON RADIO SELLS DEBT PRIVATELY                                                                   | debt                        | -1    | negative  |
| 467    | SOLAR SYSTEMS SUN DANCE EXTENDS WARRANTS                                                             |                             | 0     | neutral   |
| 468    | TWA SOLD FOUR MLN SHARES OF USAIR BELIEVED TO INSTITUTIONS, WALL STREET SOURCES                      |                             | 0     | neutral   |
| 469    | U.S. SUGAR POLICY MAY SELF-DESTRUCT, CONGRESSMAN                                                     |                             | 0     | neutral   |
| 470    | FIAT SAYS IT NOT PLANNING TO ISSUE EUROBONDS                                                         | issue                       | -1    | negative  |
| 471    | INVESTORS INCREASE STAKE IN FROST, SULLIVAN                                                          |                             | 0     | neutral   |
| 472    | LIBERIAN ORE CARRIER IN COLLISION IN RIVER ELBE                                                      |                             | 0     | neutral   |
| 473    | AIM TELEPHONES SELLS DEBT TO SHAREHOLDER                                                             | debt                        | -1    | negative  |
| 474    | HERSHEY OIL CORP 4TH QTR LOSS                                                                        | loss                        | -1    | negative  |
| 475    | MANAGEMENT INC> GETS BOND GUARANTEES                                                                 |                             | 0     | neutral   |
| 476    | EG AND G INC SETS QUARTERLY                                                                          |                             | 0     | neutral   |
| 477    | ENERGY CORP INC> YEAR LOSS                                                                           | loss                        | -1    | negative  |
| 478    | BRAZILIAN LABOUR UNREST SPREADS, MANY BANKS SHUT                                                     | unrest                      | -1    | negative  |
| 479    | OAK INDUSTRIES SETS DEBT EXCHANGE OFFER                                                              | debt                        | -1    | negative  |
| 480    | COLLINS FOODS TO REDEEM DEBENTURES                                                                   | redeem                      | 1     | positive  |
| 481    | ANDREOTTI DROPS COALITION BID                                                                        |                             | 0     | neutral   |
| 482    | TEAM TO UNVEIL NEW EQUIPMENT IN MAY                                                                  |                             | 0     | neutral   |
| 483    | GROUP INC> UNIT IN LOAN PURCHASE                                                                     |                             | 0     | neutral   |
| 484    | ENCOR PLANS 125 MLN DLR DEBENTURE OFFERING                                                           |                             | 0     | neutral   |
| 485    | ARDEN INTERNATIONAL 4TH QTR DEC 27 NET                                                               |                             | 0     | neutral   |
| 486    | TWA SELLS POSITION IN USAIR                                                                          |                             | 0     | neutral   |
| 487    | COMBUSTION ENGINEERING&LT;CSP> SEES 1ST QTR NET OFF                                                  |                             | 0     | neutral   |
| 488    | NEWMONT GOLD SEES ITS SALES RISING 22 PCT                                                            | gold                        | 1     | positive  |
| 489    | TALKING POINT/TOBACCO STOCKS                                                                         |                             | 0     | neutral   |
| 490    | MICRO DISPLAY GETS EUROPEAN ORDERS                                                                   |                             | 0     | neutral   |
| 491    | TREASURY'S BAKER SAYS EXCHANGE RATE CHANGES WILL REDUCE TRADE DEFICIT THIS YEAR                      | deficit                     | -1    | negative  |
| 492    | TREASURY'S BAKER SAYS ECONOMIC COOPERATION PROCESS IS WORKING                                        |                             | 0     | neutral   |
| 493    | TREASURY'S BAKER SAYS "THROWING MONEY" AT DEBTOR NATIONS WON'T WORK                                  | work                        | 1     | positive  |
| 494    | UTAH POWER PLANS TO REDEEM PREFERRED STOCK                                                           | redeem                      | 1     | positive  |
| 495    | GATEWAY SPORTING BUYS INNOVATIVE DENTAL                                                              | innovative                  | 1     | positive  |
| 496    | TREASURY'S BAKER SEES CUT IN TRADE DEFICIT                                                           | cut, deficit                | -2    | negative  |
| 497    | CYCLOPS CORP REFORMS BOARD AFTER DIXONS GROUP FAILS TO GET MAJORITY OF CYCLOPS STOCK                 | reforms, fails              | 0     | neutral   |
| 498    | UK TO RETAIN POWERS AGAINST U.S UNITARY TAXATION                                                     |                             | 0     | neutral   |
| 499    | TREASURY'S BAKER SAYS ECONOMIC COOPERATION WORKS                                                     | works                       | 1     | positive  |
| 500    | PAN ATLANTIC RE INC 4TH QTR NET                                                                      | pan                         | -1    | negative  |
| 501    | QUAKER CHEMICAL CORP SETS QUARTERLY                                                                  |                             | 0     | neutral   |
| 502    | RAYTHEON DIRECTOR RESIGNS                                                                            |                             | 0     | neutral   |
| 503    | MIDDLE SOUTH TO CONSIDER DIVIDEND                                                                    |                             | 0     | neutral   |
| 504    | MONARCH CAPITAL CALLS PREFERRED                                                                      |                             | 0     | neutral   |
| 505    | CYANOTECH SETS WAY TO EXTRACT CAROTENE                                                               |                             | 0     | neutral   |
| 506    | SAS TO UPGRADE CABIN SERVICE IN SCANDINAVIA                                                          |                             | 0     | neutral   |
| 507    | BELGIUM PLANS TO OUTLAW INSIDER TRADING                                                              | outlaw                      | -1    | negative  |
| 508    | OWENS-CORNING FIBERGLAS SELLS FOAM UNIT                                                              |                             | 0     | neutral   |
| 509    | U.S. SHOE INC 4TH QTR SHR 31 CTS VS 56 CTS                                                           |                             | 0     | neutral   |
| 510    | U.S. TAX FRAUD CHARGES BROUGHT AGAINST THREE                                                         | fraud                       | -1    | negative  |
| 511    | O'BRIEN ENERGY IN CITICORP LEASE                                                                     |                             | 0     | neutral   |
| 512    | QUAKER CHEMICAL TO REPURCHASE SHARES                                                                 |                             | 0     | neutral   |
| 513    | TREASURY'S BAKER OUTLINES TRADE BILL CRITICISMS                                                      | criticisms                  | -1    | negative  |
| 514    | CASINO COMMISSION DELAYS VOTE ON HOLIDAY                                                             | delays                      | -1    | negative  |
| 515    | WORTHERN BANKING IN AGREEMENT WITH FEDS                                                              | agreement                   | 1     | positive  |
| 516    | U.S. SHOE CORP 4TH QTR JAN 31 NET                                                                    |                             | 0     | neutral   |
| 517    | NUTMEG INDUSTRIES SETS LICENSING PACT                                                                |                             | 0     | neutral   |
| 518    | ARGENTINE SOYBEAN YIELD ESTIMATES DOWN FURTHER                                                       |                             | 0     | neutral   |
| 519    | BETA PHASE TO SELL EYEGLASS TECHNOLOGY                                                               |                             | 0     | neutral   |
| 520    | LYNG SAYS AGRICULTURE SHOULD SHARE SPENDING CUTS                                                     |                             | 0     | neutral   |
| 521    | TREASURY'S BAKER SAYS NEW MONEY NOT PANACEA                                                          |                             | 0     | neutral   |
| 522    | VERTEX INDUSTRIES INC 2ND QTR JAN 31 NET                                                             |                             | 0     | neutral   |
| 523    | CYCLOPS SAYS DIXONS APPOINTEES RESIGN                                                                |                             | 0     | neutral   |
| 524    | ECUADOR NEGOTIATES WITH NIGERIA FOR LENDING OIL                                                      |                             | 0     | neutral   |
| 525    | COMPUTERVISION UNVEILS NEW DESIGN GEAR                                                               |                             | 0     | neutral   |
| 526    | NORTHERN STATES POWER CO VOTES QUARTERLY                                                             |                             | 0     | neutral   |
| 527    | SUMMIT TAX EXEMPT BOND FUND SETS PAYOUT                                                              |                             | 0     | neutral   |
| 528    | U.S. SENATE TRADE LEADER CONCERNED ABOUT CANADA                                                      | concerned                   | -1    | negative  |
| 529    | TREASURY'S BAKER SAYS NEW MONEY NOT DEBT PANACEA                                                     | debt                        | -1    | negative  |
| 530    | BAKER SAYS U.S. WILLING TO COOPERATE TO STABILIZE EXCHANGE RATES                                     | willing, stabilize          | 2     | positive  |
| 531    | BAKER SAYS U.S. WANTS TO STABILIZE EXCHANGE RATES                                                    | stabilize                   | 1     | positive  |
| 532    | JUSTICE, DOT BACK AIRLINE ANTITRUST SWITCH                                                           |                             | 0     | neutral   |
| 533    | U.S. GOVERNMENT EXPANDS CRACKDOWN ON BAD DEBTS                                                       | debts, bad                  | -2    | negative  |
| 534    | FIRST FEDERAL DELAWARE AGREEMENT EXTENDED                                                            | agreement                   | 1     | positive  |
| 535    | EDELMAN GROUP IN PLAN TO BUY MORSE SHOE                                                              |                             | 0     | neutral   |
| 536    | PHILIP MORRIS' OSCAR MAYER SETS REDEMPTION                                                           | redemption                  | 1     | positive  |
| 537    | U.S AUTO AGENCY GRANTS FORD AIR BAG REQUEST                                                          |                             | 0     | neutral   |
| 538    | MERCK GETS FDA HEARTWORM MEDICINE APPROVAL                                                           | approval                    | 1     | positive  |
| 539    | JOHN LABATT SEES GOOD FOURTH QUARTER, YEAR                                                           | good                        | 1     | positive  |
| 540    | HUSKY SETS MEETING TO APPROVE MERGER                                                                 | approve                     | 1     | positive  |
| 541    | BALTIMORE GAS AND ELECTRIC FILES DEBT                                                                | debt                        | -1    | negative  |
| 542    | MERCK GETS APPROVAL FOR DOG HEART DRUG                                                               | approval                    | 1     | positive  |
| 543    | WASHINGTON GAS LIGHT CO HIKES PAYOUT                                                                 |                             | 0     | neutral   |
| 544    | ZENITH NAMES NEW FINANCIAL OFFICER                                                                   | zenith                      | 1     | positive  |
| 545    | FERC DECISION COULD CUT COLUMBIA GAS NET                                                             | cut                         | -1    | negative  |
| 546    | U.S. OFFERS MORE CREDITS FOR VEG OIL TO N. YEMEN                                                     |                             | 0     | neutral   |
| 547    | PUERTO RICAN CEMENT CO SETS PAYOUT                                                                   |                             | 0     | neutral   |
| 548    | U.S. SHOE TO OPEN 421 STORES IN 1987                                                                 |                             | 0     | neutral   |
| 549    | BARRIS TO BUY BACK STOCK                                                                             |                             | 0     | neutral   |
| 550    | CANADA MAY MONITOR STEEL SHIPMENTS                                                                   |                             | 0     | neutral   |
| 551    | MEXICO SIGNS 100 MLN DLR IADB TOURISM LOAN                                                           |                             | 0     | neutral   |
| 552    | WESCO FINANCIAL CORP 4TH QTR NET                                                                     |                             | 0     | neutral   |
| 553    | HELM SELLS ADDITIONAL SHARES IN BAMBERGER                                                            |                             | 0     | neutral   |
| 554    | AMPAL-AMERICAN ISRAEL CORP YEAR NET                                                                  |                             | 0     | neutral   |
| 555    | COCOA COUNCIL CHAIRMAN SEEKS BUFFER COMPROMISE                                                       |                             | 0     | neutral   |
| 556    | SNC GROUP EXPECTS HIGHER 1987 EARNINGS, SALES                                                        | higher                      | 1     | positive  |
| 557    | MINE SAFETY SELLS SOUTH AFRICA UNIT                                                                  |                             | 0     | neutral   |
| 558    | MEDAR INC 4TH QTR DEC 31 LOSS                                                                        | loss                        | -1    | negative  |
| 559    | MEDAR CHANGES FISCAL YEAR                                                                            |                             | 0     | neutral   |
| 560    | EPSILON DATA GETS NEW CREDIT AGREEMENT                                                               | agreement                   | 1     | positive  |
| 561    | U.S. SECURITIES INDUSTRY ASSN BACKS RESTRAINTS ON TAKEOVERS, INSIDER TRADING                         |                             | 0     | neutral   |
| 562    | CHEMFIX TECHNOLOGIES INC 2ND QTR NET                                                                 |                             | 0     | neutral   |
| 563    | ALABAMA UPGRADED IN BRUCELLOSIS PROGRAM                                                              | upgraded                    | 1     | positive  |
| 564    | HELM AFFILIATE SELLS SYSTEM                                                                          |                             | 0     | neutral   |
| 565    | FEDERAL PAPER OFFERS PREFERENTIAL SHARES                                                             |                             | 0     | neutral   |
| 566    | ALLIS-CHALMERS SELLS SWISS UNIT                                                                      |                             | 0     | neutral   |
| 567    | MONARCH CAPITAL PR> WILL NOT RESUME TRADING                                                          |                             | 0     | neutral   |
